time,value
45.17653,0.009885712
45.19309,0.009862862
45.20974,0.009839668
45.22622,0.009817581
45.24279,0.009796333
45.25971,0.009773559
45.30052,0.009736862
45.33366,0.009801597
45.35067,0.009788246
45.36679,0.009758911
45.38363,0.009744415
45.39992,0.009717369
45.41661,0.009701767
45.44204,0.009678306
45.46899,0.009660835
45.48556,0.009762611
45.51891,0.009859733
45.53548,0.0098423
45.56059,0.009816512
45.60757,0.009793701
45.75241,0.01084457
45.76989,0.01125271
45.92965,0.01197872
45.99988,0.01264641
46.0338,0.01295212
46.06963,0.01275959
46.10706,0.01260216
46.14067,0.01247471
46.17366,0.01230106
46.20663,0.01212852
46.22363,0.01205174
46.23961,0.01196369
46.28558,0.01180698
46.30204,0.01190365
46.3186,0.01182953
46.35174,0.01167984
46.36853,0.01161369
46.38487,0.01153896
46.40151,0.01147407
46.42614,0.01140503
46.48778,0.01138737
46.52507,0.01133404
46.54163,0.01164444
0,0
0.12,-0.1006207
0.22,-0.09775748
0.2368905,-0.09369165
0.2613241,-0.08975247
0.2778938,-0.08721524
0.2948672,-0.08462835
0.3118516,-0.08223815
0.3278383,-0.07988688
0.3441997,-0.07761087
0.3608223,-0.07539684
0.3772997,-0.07324124
0.3938606,-0.07113207
0.4188963,-0.06907447
0.435767,-0.0670672
0.4527554,-0.06497426
0.4687503,-0.06306691
0.4857376,-0.06120693
0.5017391,-0.05940456
0.5187222,-0.05763715
0.5357035,-0.05592364
0.5798851,-0.05424107
0.6079937,-0.05259794
0.6246554,-0.05056204
0.6416613,-0.04882984
0.6576948,-0.04733052
0.6746274,-0.0458602
0.6908585,-0.04444588
0.7076029,-0.04305301
0.730155,-0.0417027
0.7467232,-0.04038297
0.7635646,-0.03899715
0.7798579,-0.03774209
0.7965477,-0.0365235
0.8212961,-0.03533517
0.8378645,-0.03417301
0.8678454,-0.0329132
0.889755,-0.03181222
0.9311027,-0.03052633
0.9506027,-0.02940289
0.9680214,-0.027991
1.000983,-0.02600598
1.01697,-0.02509547
1.061089,-0.02418289
1.085352,-0.02331203
1.101922,-0.0220136
1.118487,-0.0210614
1.135053,-0.02026096
1.151885,-0.01948305
1.168191,-0.01872331
1.184862,-0.01797784
1.20132,-0.01725924
1.22725,-0.0165529
1.243835,-0.01586781
1.260819,-0.0150497
1.276951,-0.0144002
1.293524,-0.0137634
1.310085,-0.01315289
1.32678,-0.01255282
